combination_id,sampling_rates_mhz,num_rates,sum_sampling_rate_mhz,max_sampling_rate_mhz,gcd_mhz,lcm_mhz,temporal_period_mhz,temporal_unique_coverage,joint_unique_coverage,spatial_absolute_gain,resolve_rate_among_temporal_ambiguous,mean_temporal_candidates,median_temporal_candidates,p90_temporal_candidates,p95_temporal_candidates,max_temporal_candidates,mean_joint_candidates,median_joint_candidates,p90_joint_candidates,p95_joint_candidates,max_joint_candidates,mean_candidate_reduction,median_candidate_reduction,p10_candidate_reduction,p90_candidate_reduction,temporal_margin_min,temporal_margin_p05,temporal_margin_p10,temporal_margin_median,temporal_margin_mean,joint_margin_min,joint_margin_p05,joint_margin_p10,joint_margin_median,joint_margin_mean,broadside_joint_coverage,off_broadside_joint_coverage,runtime_seconds,status,category,is_pareto_optimal
r_50_64_80,50+64+80,3,194,80,2,1600,1600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08166958965857488,0.08166958965857488,0.08166958965857488,0.08166958965857488,0.08166958965857485,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.05805910172575062,0.05498562604679894,1.0,1.0,0.1493369999807328,ok,C,False
r_20_30_48_96,20+30+48+96,4,194,96,2,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03412539342363735,0.04293082311177132,0.0,0.31582089552238807,0.14499810000415891,ok,D,False
r_20_30_64_80,20+30+64+80,4,194,80,2,960,960,0.9104477611940298,0.9458445477530381,0.03539678655900824,0.39526411657559196,1.0895522388059702,1.0,1.0,2.0,2.0,1.0541554522469618,1.0,1.0,2.0,2.0,0.19763205828779598,0.0,0.0,0.5,0.0,0.0,0.125,0.125,0.11380597014925373,0.0,0.032150888553683796,0.04081478759369222,0.08401326228793436,0.07298269389562519,0.9104477611940298,0.9536318407960199,0.148618399980478,ok,unclassified,False
r_20_35_64_75,20+35+64+75,4,194,75,1,33600,33600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0847921837638213,0.0847921837638213,0.0847921837638213,0.0847921837638213,0.0847921837638213,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.061881341462138265,0.06275560855971955,1.0,1.0,0.15355549997184426,ok,C,False
r_20_50_60_64,20+50+60+64,4,194,64,2,4800,4800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.10476909133900132,0.08940689314876225,0.021114881390733527,0.027648719288484606,0.03646502451838369,0.07421028413715602,0.06663489864659229,1.0,1.0,0.14993750001303852,ok,C,False
r_25_30_64_75,25+30+64+75,4,194,75,1,4800,4800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015625,0.015625,0.015625,0.015625,0.015625,0.011048543456039806,0.011265015425853585,0.012241052176058136,0.03229703070647972,0.04305476831791288,1.0,1.0,0.15286560007371008,ok,C,False
r_25_45_60_64,25+45+60+64,4,194,64,1,14400,14400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.12095911098262417,0.10221392361312064,0.021114881390733527,0.027648719288484606,0.03646502451838369,0.08232258999177808,0.07089940538695126,1.0,1.0,0.13881170004606247,ok,C,False
r_30_40_60_64,30+40+60+64,4,194,64,2,960,960,0.9104477611940298,0.9458445477530381,0.03539678655900824,0.39526411657559196,1.0895522388059702,1.0,1.0,2.0,2.0,1.0541554522469618,1.0,1.0,2.0,2.0,0.19763205828779598,0.0,0.0,0.5,0.0,0.0,0.0625,0.0625,0.05690298507462686,0.0,0.032150888553683796,0.04081478759369222,0.04571143584536384,0.04711675515509307,0.9104477611940298,0.9536318407960199,0.14478750003036112,ok,unclassified,False
r_32_48_50_64,32+48+50+64,4,194,64,2,4800,4800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07888690975852712,0.07888690975852712,0.07888690975852712,0.07888690975852712,0.07888690975852711,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.057006386627874675,0.05746979740246816,1.0,1.0,0.1542591000907123,ok,C,False
r_35_45_50_64,35+45+50+64,4,194,64,1,100800,100800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07311758640249642,0.07311758640249642,0.07311758640249642,0.07311758640249642,0.07311758640249642,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.056164922838198635,0.059518552951469836,1.0,1.0,0.1444553000619635,ok,C,False
r_20_75_100,20+75+100,3,195,100,5,300,300,0.0,0.10423293369219476,0.10423293369219476,0.10423293369219476,3.417910447761194,3.0,4.0,4.0,4.0,2.791860370279749,3.0,4.0,4.0,4.0,0.17987929206426886,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0008491595612571525,0.002423378350540011,0.016033749349072896,0.024341354438797976,0.0,0.1271641791044776,0.14789509994443506,ok,D,False
r_35_60_100,35+60+100,3,195,100,5,2100,2100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.056108360768678214,0.056108360768678214,0.056108360768678214,0.056108360768678214,0.06414264071318083,0.021114881390733527,0.03589085701077631,0.039688214396092804,0.058400585857685636,0.056752457322850676,1.0,1.0,0.13780969998333603,ok,C,False
r_35_64_96,35+64+96,3,195,96,1,6720,6720,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010842010413886109,0.010842010413886109,0.010842010413886109,0.010842010413886109,0.010842010413886109,0.007666459085354034,0.007882765514625072,0.00884169070299834,0.02514321222441435,0.03253911240169007,1.0,1.0,0.14334109995979816,ok,C,False
r_40_75_80,40+75+80,3,195,80,5,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03849001794597505,0.03849001794597505,0.03849001794597505,0.03849001794597505,0.03849001794597506,0.021114881390733527,0.027223536674998446,0.02729137794518329,0.030353895789620382,0.0342195647015273,1.0,1.0,0.1492154001025483,ok,C,False
r_45_50_100,45+50+100,3,195,100,5,900,900,0.7910447761194029,0.8714623603295001,0.08041758421009715,0.38485558157689304,1.208955223880597,1.0,2.0,2.0,2.0,1.1285376396705,1.0,2.0,2.0,2.0,0.19242779078844652,0.0,0.0,0.5,0.0,0.0,0.0,0.06415002990995841,0.05074554604817607,0.0,0.021668091645073762,0.035475785777914944,0.046590688557199146,0.04863877262184759,0.7910447761194029,0.8891542288557214,0.15014429995790124,ok,unclassified,False
r_20_25_50_100,20+25+50+100,4,195,100,5,100,100,0.0,0.013049506565532991,0.013049506565532991,0.013049506565532991,10.054726368159203,10.0,10.0,11.0,11.0,8.051300872685752,9.0,10.0,10.0,11.0,0.19917995714423412,0.09999999999999998,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.00020136934859858594,0.0005824994667945201,0.004545025386745986,0.007696518045261762,0.0,0.015920398009950248,0.16445629997178912,ok,D,False
r_20_30_45_100,20+30+45+100,4,195,100,5,900,900,0.7910447761194029,0.8714623603295001,0.08041758421009715,0.38485558157689304,1.208955223880597,1.0,2.0,2.0,2.0,1.1285376396705,1.0,2.0,2.0,2.0,0.19242779078844652,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0791044776119403,0.0,0.021668091645073762,0.035475785777914944,0.07086424040546356,0.06348550374184211,0.7910447761194029,0.8891542288557214,0.14578529994469136,ok,unclassified,False
r_20_35_40_100,20+35+40+100,4,195,100,5,1400,1400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07697228144989336,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06134539420009715,0.06242773833988886,1.0,1.0,0.16591060010250658,ok,C,False
r_20_35_60_80,20+35+60+80,4,195,80,5,1680,1680,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857141,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.052517038616684955,0.0555964150419289,1.0,1.0,0.15361639996990561,ok,C,False
r_20_40_60_75,20+40+60+75,4,195,75,5,600,600,0.19402985074626866,0.4462115651251937,0.25218171437892506,0.3128921270997774,1.8059701492537314,2.0,2.0,2.0,2.0,1.5537884348748063,2.0,2.0,2.0,2.0,0.1564460635498887,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.019402985074626868,0.0,0.003143600393993924,0.007640288880211225,0.054253999217157185,0.04850584674691721,0.19402985074626866,0.5016915422885572,0.15386570000555366,ok,D,False
r_20_45_50_80,20+45+50+80,4,195,80,5,3600,3600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555557,0.021114881390733527,0.03589085701077631,0.03928758988780752,0.0460401102803993,0.05490631489109729,1.0,1.0,0.14726369990967214,ok,C,False
r_25_30_40_100,25+30+40+100,4,195,100,5,600,600,0.19402985074626866,0.4462115651251937,0.25218171437892506,0.3128921270997774,1.8059701492537314,2.0,2.0,2.0,2.0,1.5537884348748063,2.0,2.0,2.0,2.0,0.1564460635498887,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.027439964643060057,0.0,0.003143600393993924,0.007640288880211225,0.054253999217157185,0.05576289240795329,0.19402985074626866,0.5016915422885572,0.15484410000499338,ok,D,False
r_25_30_60_80,25+30+60+80,4,195,80,5,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0982706367922563,0.0982706367922563,0.0982706367922563,0.0982706367922563,0.09827063679225631,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.07023543473446124,0.06870002842514994,1.0,1.0,0.149365600082092,ok,C,False
r_25_35_60_75,25+35+60+75,4,195,75,5,2100,2100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.08210892280649947,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.062116275150337,0.06751871285056837,1.0,1.0,0.13790999993216246,ok,C,False
