sampling_rates_mhz,frequency_hz,true_angle_deg,music_angle_deg,esprit_angle_deg,music_error_deg,esprit_error_deg,status
25+32,300000000,45,45.00001362215791,44.99999999999999,1.362215790834398e-05,-7.105427357601002e-15,ok
25+32,300000000,60,60.000000000001705,60.00000000000001,1.7053025658242404e-12,7.105427357601002e-15,ok
25+32,500000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
25+32,500000000,-45,-45.00001309971865,-45.00000000000003,-1.3099718650266823e-05,-2.842170943040401e-14,ok
25+32,500000000,-30,-30.000007449694216,-29.99999999999998,-7.4496942161772495e-06,2.1316282072803006e-14,ok
25+32,500000000,-10,-10.000002253755051,-10.000000000000021,-2.253755051029316e-06,-2.1316282072803006e-14,ok
25+32,500000000,0,8.214670223975554e-13,-0.0,8.214670223975554e-13,-0.0,ok
25+32,500000000,10,10.000002253756694,10.00000000000002,2.2537566941593923e-06,1.9539925233402755e-14,ok
25+32,500000000,30,30.000007449695858,29.99999999999998,7.449695857530969e-06,-2.1316282072803006e-14,ok
25+32,500000000,45,45.00001309972029,45.00000000000003,1.3099720291620542e-05,2.842170943040401e-14,ok
25+32,500000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
25+32,800000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
25+32,800000000,-45,-45.00001265299268,-44.99999999999999,-1.26529926802732e-05,7.105427357601002e-15,ok
25+32,800000000,-30,-30.000007199221496,-29.999999999999993,-7.199221496279051e-06,7.105427357601002e-15,ok
25+32,800000000,-10,-10.000002178641482,-10.0,-2.178641482331045e-06,0.0,ok
25+32,800000000,0,8.22501950852893e-13,-0.0,8.22501950852893e-13,-0.0,ok
25+32,800000000,10,10.000002178643127,10.0,2.1786431272374784e-06,0.0,ok
25+32,800000000,30,30.00000719922314,29.999999999999993,7.1992231411854846e-06,-7.105427357601002e-15,ok
25+32,800000000,45,45.00001265299432,44.99999999999999,1.265299432162692e-05,-7.105427357601002e-15,ok
25+32,800000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
