sampling_rates_mhz,frequency_hz,angle_deg,snr_db,observation_duration_s,snapshots_by_branch,sum_sampling_rate_mhz,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
20,800000000.0,30.0,0.0,1e-06,20,20,MUSIC,-1.1856145231695763,1.1856145231695763,1.1856145231695763,1.1856145231695763,1.1856145231695763,1.1856145231695763,0.0,1.0,0.0,0.0
20,800000000.0,30.0,0.0,2e-06,40,20,MUSIC,-1.4288906915669415,1.4288906915669415,1.4288906915669415,1.4288906915669415,1.4288906915669415,1.4288906915669415,0.0,1.0,0.0,0.0
20,800000000.0,30.0,0.0,5e-06,100,20,MUSIC,-0.15023569758977473,0.15023569758977473,0.15023569758977473,0.15023569758977473,0.15023569758977473,0.15023569758977473,1.0,1.0,0.0,0.0
20,800000000.0,30.0,0.0,1e-05,200,20,MUSIC,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,1.0,1.0,0.0,0.0
32,800000000.0,30.0,0.0,1e-06,32,32,MUSIC,-1.0995954985625644,1.0995954985625644,1.0995954985625644,1.0995954985625644,1.0995954985625644,1.0995954985625644,0.0,1.0,0.0,0.0
32,800000000.0,30.0,0.0,2e-06,64,32,MUSIC,0.006338029871713502,0.006338029871713502,0.006338029871713502,0.006338029871713502,0.006338029871713502,0.006338029871713502,1.0,1.0,0.0,0.0
32,800000000.0,30.0,0.0,5e-06,160,32,MUSIC,-0.14863513519306082,0.14863513519306082,0.14863513519306082,0.14863513519306082,0.14863513519306082,0.14863513519306082,1.0,1.0,0.0,0.0
32,800000000.0,30.0,0.0,1e-05,320,32,MUSIC,0.19112916082012177,0.19112916082012177,0.19112916082012177,0.19112916082012177,0.19112916082012177,0.19112916082012177,1.0,1.0,0.0,0.0
64,800000000.0,30.0,0.0,1e-06,64,64,MUSIC,0.1735231079156918,0.1735231079156918,0.1735231079156918,0.1735231079156918,0.1735231079156918,0.1735231079156918,1.0,1.0,0.0,0.0
64,800000000.0,30.0,0.0,2e-06,128,64,MUSIC,-0.22376864945951525,0.22376864945951525,0.22376864945951525,0.22376864945951525,0.22376864945951525,0.22376864945951525,1.0,1.0,0.0,0.0
64,800000000.0,30.0,0.0,5e-06,320,64,MUSIC,-0.2454470202675587,0.2454470202675587,0.2454470202675587,0.2454470202675587,0.2454470202675587,0.2454470202675587,1.0,1.0,0.0,0.0
64,800000000.0,30.0,0.0,1e-05,640,64,MUSIC,-0.017994668242867107,0.017994668242867107,0.017994668242867107,0.017994668242867107,0.017994668242867107,0.017994668242867107,1.0,1.0,0.0,0.0
200,800000000.0,30.0,0.0,1e-06,200,200,MUSIC,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,0.33020942919181806,1.0,1.0,0.0,0.0
200,800000000.0,30.0,0.0,2e-06,400,200,MUSIC,-0.2883671921394111,0.2883671921394111,0.2883671921394111,0.2883671921394111,0.2883671921394111,0.2883671921394111,1.0,1.0,0.0,0.0
200,800000000.0,30.0,0.0,5e-06,1000,200,MUSIC,0.06550335908150728,0.06550335908150728,0.06550335908150728,0.06550335908150728,0.06550335908150728,0.06550335908150728,1.0,1.0,0.0,0.0
200,800000000.0,30.0,0.0,1e-05,2000,200,MUSIC,-0.05563763200521521,0.05563763200521521,0.05563763200521521,0.05563763200521521,0.05563763200521521,0.05563763200521521,1.0,1.0,0.0,0.0
