true_frequency_hz,assumed_frequency_hz,absolute_frequency_error_hz,relative_frequency_error,true_angle_deg,predicted_angle_deg,estimated_angle_deg,prediction_error_deg,aoa_error_deg,is_physically_feasible,used_alias_frequency,sampling_rate_hz,sampling_rates_mhz
300000000,300100000,100000,0.0003333333333333333,10,9.99663354232544,9.99959537921919,0.0029618368937498474,-0.0004046207808094948,True,False,,32+35
300000000,300500000,500000,0.0016666666666666668,10,9.983190464814946,9.996605582484593,0.013415117669646648,-0.0033944175154072553,True,False,,32+35
300000000,301000000,1000000,0.0033333333333333335,10,9.96643763898195,9.990449417215086,0.024011778233136383,-0.009550582784914496,True,False,,32+35
300000000,302000000,2000000,0.006666666666666667,10,9.933100965395102,9.96644418433333,0.03334321893822789,-0.033555815666669986,True,False,,32+35
300000000,305000000,5000000,0.016666666666666666,10,9.834422417737935,9.809981966640903,-0.024440451097031968,-0.19001803335909706,True,False,,32+35
300000000,310000000,10000000,0.03333333333333333,10,9.67426500063823,9.64258107739653,-0.03168392324169922,-0.3574189226034701,True,False,,32+35
300000000,320000000,20000000,0.06666666666666667,10,9.369175088695291,9.391653674315728,0.02247858562043703,-0.6083463256842716,True,False,,32+35
300000000,12000000.0,-288000000.0,-0.96,10,nan,60.000000000001705,nan,50.000000000001705,False,True,32000000.0,32+35
300000000,-15000000.0,-315000000.0,-1.05,10,nan,-60.0,nan,-70.0,False,True,35000000.0,32+35
300000000,280000000,-20000000,-0.06666666666666667,50,55.16113608148917,55.187998006164875,0.026861924675706916,5.187998006164875,True,False,,32+35
300000000,290000000,-10000000,-0.03333333333333333,50,52.4159785452794,52.403262061035505,-0.01271648424389582,2.4032620610355053,True,False,,32+35
300000000,295000000,-5000000,-0.016666666666666666,50,51.171688544317654,51.19278409296054,0.02109554864288299,1.1927840929605367,True,False,,32+35
300000000,298000000,-2000000,-0.006666666666666667,50,50.46048168279226,50.42737576854091,-0.03310591425135101,0.4273757685409123,True,False,,32+35
300000000,299000000,-1000000,-0.0033333333333333335,50,50.228914992072234,50.20767863752698,-0.021236354545251857,0.2076786375269819,True,False,,32+35
300000000,299500000,-500000,-0.0016666666666666668,50,50.11412961675885,50.13854045635471,0.024410839595859102,0.13854045635471124,True,False,,32+35
300000000,299900000,-100000,-0.0003333333333333333,50,50.02277380101826,50.00537561167314,-0.017398189345122717,0.005375611673137826,True,False,,32+35
300000000,300000000,0,0.0,50,50.0,50.00001635602532,1.6356025319907985e-05,1.6356025319907985e-05,True,False,,32+35
300000000,300100000,100000,0.0003333333333333333,50,49.97725214842775,49.99482525927522,0.017573110847465045,-0.005174740724783078,True,False,,32+35
300000000,300500000,500000,0.0016666666666666668,50,49.88651912891439,49.86334211856797,-0.023177010346415727,-0.13665788143202917,True,False,,32+35
300000000,301000000,1000000,0.0033333333333333335,50,49.7736801096671,49.79354701514158,0.01986690547447978,-0.2064529848584229,True,False,,32+35
300000000,302000000,2000000,0.006666666666666667,50,49.549900629633555,49.58121959933609,0.03131896970253223,-0.41878040066391264,True,False,,32+35
300000000,305000000,5000000,0.016666666666666666,50,48.893284476814365,48.879294775933246,-0.01398970088111895,-1.1207052240667537,True,False,,32+35
300000000,310000000,10000000,0.03333333333333333,50,47.84511919375526,47.81582277433308,-0.029296419422180975,-2.1841772256669216,True,False,,32+35
300000000,320000000,20000000,0.06666666666666667,50,45.90332364318569,45.91150040538545,0.008176762199759935,-4.088499594614547,True,False,,32+35
300000000,12000000.0,-288000000.0,-0.96,50,nan,60.000000000001705,nan,10.000000000001705,False,True,32000000.0,32+35
300000000,-15000000.0,-315000000.0,-1.05,50,nan,-60.0,nan,-110.0,False,True,35000000.0,32+35
500000000,480000000,-20000000,-0.04,-50,-52.93601744066989,-52.96967590310894,-0.033658462439049686,-2.969675903108943,True,False,,32+35
500000000,490000000,-10000000,-0.02,-50,-51.41446958028343,-51.40284568442642,0.011623895857013622,-1.402845684426417,True,False,,32+35
500000000,495000000,-5000000,-0.01,-50,-50.69475866985953,-50.683417236724786,0.011341433134745671,-0.6834172367247859,True,False,,32+35
500000000,498000000,-2000000,-0.004,-50,-50.27501434863399,-50.243810232609015,0.031204116024973416,-0.24381023260901458,True,False,,32+35
500000000,499000000,-1000000,-0.002,-50,-50.13703400459706,-50.170657514977925,-0.03362351038086331,-0.17065751497792547,True,False,,32+35
500000000,499500000,-500000,-0.001,-50,-50.06839947445046,-50.0354618652672,0.032937609183257166,-0.03546186526720163,True,False,,32+35
500000000,499900000,-100000,-0.0002,-50,-50.01366116311584,-50.00262890434438,0.011032258771464853,-0.0026289043443767923,True,False,,32+35
500000000,500000000,0,0.0,-50,-50.0,-50.000015724246715,-1.5724246715365098e-05,-1.5724246715365098e-05,True,False,,32+35
500000000,500100000,100000,0.0002,-50,-49.98634817868105,-49.99752861966131,-0.011180440980261608,0.00247138033869021,True,False,,32+35
500000000,500500000,500000,0.001,-50,-49.93183407170644,-49.9652137295306,-0.03337965782416319,0.03478627046939664,True,False,,32+35
500000000,501000000,1000000,0.002,-50,-49.863900195457646,-49.830644807638286,0.03325538781935933,0.1693551923617136,True,False,,32+35
500000000,502000000,2000000,0.004,-50,-49.72872269845317,-49.761541019679676,-0.03281832122650741,0.2384589803203241,True,False,,32+35
500000000,505000000,5000000,0.01,-50,-49.328608684428524,-49.361396909185814,-0.03278822475729015,0.6386030908141862,True,False,,32+35
500000000,510000000,10000000,0.02,-50,-48.679154810960945,-48.64996949754339,0.029185313417556813,1.3500305024566117,True,False,,32+35
500000000,520000000,20000000,0.04,-50,-47.44099444328819,-47.41342022656935,0.02757421671883975,2.5865797734306497,True,False,,32+35
500000000,-12000000.0,-512000000.0,-1.024,-50,nan,-60.0,nan,-10.0,False,True,32000000.0,32+35
500000000,10000000.0,-490000000.0,-0.98,-50,nan,60.000000000001705,nan,110.0000000000017,False,True,35000000.0,32+35
500000000,480000000,-20000000,-0.04,-10,-10.421226473812048,-10.404775690703763,0.01645078310828474,-0.4047756907037634,True,False,,32+35
500000000,490000000,-10000000,-0.02,-10,-10.206245323730247,-10.20091027105587,0.005335052674377394,-0.20091027105586967,True,False,,32+35
500000000,495000000,-5000000,-0.01,-10,-10.10206448541769,-10.107211865927606,-0.005147380509916033,-0.10721186592760645,True,False,,32+35
500000000,498000000,-2000000,-0.004,-10,-10.04057599787602,-10.013089042943724,0.02748695493229647,-0.013089042943724039,True,False,,32+35
500000000,499000000,-1000000,-0.002,-10,-10.02024670696634,-10.004458596549403,0.015788110416936618,-0.004458596549403282,True,False,,32+35
500000000,499500000,-500000,-0.001,-10,-10.010113062139565,-10.00170671376403,0.008406348375535444,-0.0017067137640296437,True,False,,32+35
500000000,499900000,-100000,-0.0002,-10,-10.002020968839417,-10.00022662315556,0.001794345683856946,-0.0002266231555605458,True,False,,32+35
500000000,500000000,0,0.0,-10,-10.0,-10.000002253755051,-2.253755051029316e-06,-2.253755051029316e-06,True,False,,32+35
500000000,500100000,100000,0.0002,-10,-9.997979851948278,-9.999786880450603,-0.0018070285023252808,0.00021311954939662314,True,False,,32+35
500000000,500500000,500000,0.001,-10,-9.989907457573514,-9.99831851357689,-0.008411056003376771,0.0016814864231093907,True,False,,32+35
500000000,501000000,1000000,0.002,-10,-9.979835372143965,-9.995594394260804,-0.015759022116839105,0.004405605739195906,True,False,,32+35
500000000,502000000,2000000,0.004,-10,-9.959752322693102,-9.987128049582651,-0.0273757268895487,0.012871950417348899,True,False,,32+35
500000000,505000000,5000000,0.01,-10,-9.899987698753508,-9.90001066852864,-2.296977513260856e-05,0.09998933147135958,True,False,,32+35
500000000,510000000,10000000,0.02,-10,-9.801965994217744,-9.800219187622062,0.0017468065956816048,0.19978081237793788,True,False,,32+35
500000000,520000000,20000000,0.04,-10,-9.611660164605818,-9.602065192965055,0.009594971640762395,0.3979348070349449,True,False,,32+35
500000000,-12000000.0,-512000000.0,-1.024,-10,nan,60.000000000001705,nan,70.0000000000017,False,True,32000000.0,32+35
500000000,10000000.0,-490000000.0,-0.98,-10,nan,-60.0,nan,-50.0,False,True,35000000.0,32+35
500000000,480000000,-20000000,-0.04,0,0.0,8.213719920211488e-13,8.213719920211488e-13,8.213719920211488e-13,True,False,,32+35
500000000,490000000,-10000000,-0.02,0,0.0,8.214208682446158e-13,8.214208682446158e-13,8.214208682446158e-13,True,False,,32+35
