sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
Nyquist_3000,1300000000.0,-10,-10,128,1,128,MUSIC,-0.07815691023438953,0.602892570688716,0.903169615160734,0.24766598701964604,1.5442178581811508,1.8509588256922738,0.8,0.9,0.0,0.0
Nyquist_3000,1300000000.0,-10,0,128,1,128,MUSIC,-0.027364185901251403,0.13925435674844983,0.1548772861934282,0.14141602053105284,0.22559998560638447,0.23816929303117607,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-10,10,128,1,128,MUSIC,-0.0072801713100020034,0.03339970299492663,0.03584982106544509,0.035445914434101056,0.04691421890858045,0.049901478571715424,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-10,20,128,1,128,MUSIC,-0.0011417618168984233,0.0053429833222431,0.005697080227388234,0.005225922652076775,0.007781818227722503,0.00804574112396006,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,0,-10,128,1,128,MUSIC,0.23270728078111302,0.6373757238573269,0.8121984284930508,0.4350785163323363,1.525088157431087,1.5828131478353717,0.8,1.0,0.0,0.0
Nyquist_3000,1300000000.0,0,0,128,1,128,MUSIC,0.045313881665722956,0.1218670615266703,0.1617282757051404,0.0794950465748489,0.2003622055855638,0.3031373216966502,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,0,10,128,1,128,MUSIC,0.011560266862418102,0.03356705976585406,0.04743824216516977,0.028576363973849134,0.05606418030902162,0.08776417413280738,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,0,20,128,1,128,MUSIC,0.0013897401574833384,0.005494657690806818,0.007191817897749258,0.005071886880547004,0.009321310280181249,0.012706292269702815,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,10,-10,128,1,128,MUSIC,-0.1303920733595884,0.6007846075247677,0.771117411782553,0.5517951392406566,1.0396964662486476,1.420197231746207,0.9,1.0,0.0,0.0
Nyquist_3000,1300000000.0,10,0,128,1,128,MUSIC,-0.038823428992080265,0.14899219744878991,0.19813530946402805,0.10745779783783593,0.29021592751001263,0.36091194004417054,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,10,10,128,1,128,MUSIC,-0.012773547640562377,0.04261097514236756,0.058374441238320265,0.03171404698074465,0.0917323828017908,0.10900244444832469,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,10,20,128,1,128,MUSIC,-0.0016184256833845722,0.005985562334050698,0.00781918662664427,0.0055022884826456675,0.01277938161011498,0.013928383920902473,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,50,-10,128,1,128,MUSIC,0.45048020742781747,1.1727006286356088,1.3382273241936709,1.296349981981173,1.8699640436975407,1.894233128075444,0.4,1.0,0.0,0.0
Nyquist_3000,1300000000.0,50,0,128,1,128,MUSIC,0.0605132699774245,0.20666580707344906,0.2694480740735706,0.16337244991018807,0.4470340612078196,0.5149845226650294,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,50,10,128,1,128,MUSIC,0.014038122444315349,0.055385132677847795,0.07455795012780313,0.04493833031594363,0.11617008221115552,0.14793058392072558,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,50,20,128,1,128,MUSIC,0.0028294959232610497,0.010065827569657414,0.013562984291553842,0.008084042572519934,0.018398528708220844,0.026423657927471547,1.0,1.0,0.0,0.0
